Season,Team,format,MatchIndicator,TotalWin,TotalDraw,TotalLose,TotalPoints,Value
09/10,Bologna,Away,Away_Corners,3,7,9,16,60
09/10,Bologna,Away,Away_Fouls,3,7,9,16,346
09/10,Bologna,Away,Away_Red,3,7,9,16,2
09/10,Bologna,Away,Away_Shot_Acc,3,7,9,16,6.43
09/10,Bologna,Away,Away_Shots,3,7,9,16,167
09/10,Bologna,Away,Away_Shots_on_Target,3,7,9,16,50
09/10,Bologna,Away,Away_Yellow,3,7,9,16,39
09/10,Bologna,Away,FT_Away_Goals,3,7,9,16,17
09/10,Bologna,Away,HT_Away_Goals,3,7,9,16,12
09/10,Bologna,Home,FT_Home_Goals,7,5,7,26,25
09/10,Bologna,Home,Home_Corners,7,5,7,26,88
09/10,Bologna,Home,Home_Fouls,7,5,7,26,360
09/10,Bologna,Home,Home_Red,7,5,7,26,1
09/10,Bologna,Home,Home_Shot_Acc,7,5,7,26,6.8500000000000005
09/10,Bologna,Home,Home_Shots,7,5,7,26,206
09/10,Bologna,Home,Home_Shots_on_Target,7,5,7,26,69
09/10,Bologna,Home,Home_Yellow,7,5,7,26,31
09/10,Bologna,Home,HT_Home_Goals,7,5,7,26,14
10/11,Bologna,Away,Away_Corners,4,5,10,17,74
10/11,Bologna,Away,Away_Fouls,4,5,10,17,329
10/11,Bologna,Away,Away_Red,4,5,10,17,2
10/11,Bologna,Away,Away_Shot_Acc,4,5,10,17,6.36
10/11,Bologna,Away,Away_Shots,4,5,10,17,193
10/11,Bologna,Away,Away_Shots_on_Target,4,5,10,17,59
10/11,Bologna,Away,Away_Yellow,4,5,10,17,46
10/11,Bologna,Away,FT_Away_Goals,4,5,10,17,18
10/11,Bologna,Away,HT_Away_Goals,4,5,10,17,5
10/11,Bologna,Home,FT_Home_Goals,7,7,5,28,17
10/11,Bologna,Home,Home_Corners,7,7,5,28,100
10/11,Bologna,Home,Home_Fouls,7,7,5,28,290
10/11,Bologna,Home,Home_Red,7,7,5,28,2
10/11,Bologna,Home,Home_Shot_Acc,7,7,5,28,5.8500000000000005
10/11,Bologna,Home,Home_Shots,7,7,5,28,243
10/11,Bologna,Home,Home_Shots_on_Target,7,7,5,28,71
10/11,Bologna,Home,Home_Yellow,7,7,5,28,37
10/11,Bologna,Home,HT_Home_Goals,7,7,5,28,8
11/12,Bologna,Away,Away_Corners,5,8,6,23,66
11/12,Bologna,Away,Away_Fouls,5,8,6,23,314
11/12,Bologna,Away,Away_Red,5,8,6,23,0
11/12,Bologna,Away,Away_Shot_Acc,5,8,6,23,6.43
11/12,Bologna,Away,Away_Shots,5,8,6,23,208
11/12,Bologna,Away,Away_Shots_on_Target,5,8,6,23,71
11/12,Bologna,Away,Away_Yellow,5,8,6,23,51
11/12,Bologna,Away,FT_Away_Goals,5,8,6,23,18
11/12,Bologna,Away,HT_Away_Goals,5,8,6,23,7
11/12,Bologna,Home,FT_Home_Goals,8,4,7,28,23
11/12,Bologna,Home,Home_Corners,8,4,7,28,96
11/12,Bologna,Home,Home_Fouls,8,4,7,28,324
11/12,Bologna,Home,Home_Red,8,4,7,28,3
11/12,Bologna,Home,Home_Shot_Acc,8,4,7,28,6.82
11/12,Bologna,Home,Home_Shots,8,4,7,28,236
11/12,Bologna,Home,Home_Shots_on_Target,8,4,7,28,84
